 Subject: Energy and Utilities 
 Topic : Gas Sales and Tariffs 
" Title  : M890371 - Gas Sales, Quarterly "
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
 Variables , 1994 1Q , 1994 2Q , 1994 3Q , 1994 4Q , 1995 1Q , 1995 2Q , 1995 3Q , 1995 4Q , 1996 1Q , 1996 2Q , 1996 3Q , 1996 4Q , 1997 1Q , 1997 2Q , 1997 3Q , 1997 4Q , 1998 1Q , 1998 2Q , 1998 3Q , 1998 4Q , 1999 1Q , 1999 2Q , 1999 3Q , 1999 4Q , 2000 1Q , 2000 2Q , 2000 3Q , 2000 4Q , 2001 1Q , 2001 2Q , 2001 3Q , 2001 4Q , 2002 1Q , 2002 2Q , 2002 3Q , 2002 4Q , 2003 1Q , 2003 2Q , 2003 3Q , 2003 4Q , 2004 1Q , 2004 2Q , 2004 3Q , 2004 4Q , 2005 1Q , 2005 2Q , 2005 3Q , 2005 4Q , 2006 1Q , 2006 2Q , 2006 3Q , 2006 4Q , 2007 1Q , 2007 2Q , 2007 3Q , 2007 4Q , 2008 1Q , 2008 2Q , 2008 3Q , 2008 4Q , 2009 1Q , 2009 2Q , 2009 3Q , 2009 4Q , 2010 1Q , 2010 2Q , 2010 3Q , 2010 4Q , 2011 1Q , 2011 2Q , 2011 3Q , 2011 4Q , 2012 1Q , 2012 2Q , 2012 3Q , 2012 4Q , 2013 1Q , 2013 2Q , 2013 3Q , 2013 4Q , 2014 1Q , 2014 2Q , 2014 3Q , 2014 4Q , 2015 1Q , 2015 2Q , 2015 3Q , 2015 4Q , 2016 1Q , 2016 2Q , 2016 3Q , 2016 4Q , 2017 1Q , 2017 2Q , 2017 3Q , 2017 4Q , 2018 1Q , 2018 2Q , 2018 3Q , 2018 4Q , 2019 1Q , 2019 2Q , 2019 3Q ,
 Total Piped Gas Sales (Town Gas) (Million Kilowatt Hours) , 257.4 , 259.7 , 263.3 , 265.3 , 269.9 , 264.8 , 273.1 , 276.1 , 284.8 , 280.9 , 290.5 , 295.1 , 298.8 , 297.5 , 308.3 , 313.6 , 312.2 , 310.5 , 320.5 , 323.1 , 324.9 , 318.7 , 331.9 , 331.3 , 339.2 , 335.1 , 343.2 , 345.6 , 324.1 , 343.9 , 344 , 343 , 345.6 , 344.9 , 348 , 350.4 , 346.8 , 343.8 , 342.1 , 338.4 , 338.5 , 335.7 , 335.7 , 334.7 , 340 , 340.1 , 347.2 , 346.7 , 348.1 , 347.4 , 351.9 , 350.8 , 357.6 , 352.7 , 357.8 , 357.9 , 362.3 , 363.8 , 366 , 363.4 , 355.8 , 363.4 , 370.8 , 371.4 , 375.8 , 378 , 386.7 , 394.7 , 395.5 , 397 , 401.5 , 405.4 , 407.8 , 406.2 , 415.4 , 411.9 , 406.7 , 416.3 , 418.5 , 421.2 , 419.1 , 413.4 , 417.8 , 415.9 , 422.6 , 419.9 , 423.6 , 429.3 , 422 , 435.5 , 442 , 441.2 , 443 , 438.4 , 440.9 , 433.7 , 439.7 , 441.3 , 438.6 , 444.7 , 436.5 , 438.6 , 441.2 ,
     Domestic (Million Kilowatt Hours) , 93.8 , 96.1 , 96.5 , 95 , 100.5 , 97.1 , 98.3 , 97.9 , 102.7 , 101.6 , 104.2 , 103.8 , 108 , 106.5 , 108.3 , 108.8 , 114.9 , 113.9 , 117.2 , 118.6 , 123 , 118.6 , 122.6 , 122.4 , 128.3 , 125.2 , 128.5 , 128.4 , 122.7 , 130.7 , 129.4 , 128 , 142.5 , 140.5 , 142.7 , 144.8 , 148.5 , 155.5 , 147.1 , 144.2 , 146 , 142.8 , 143.2 , 143.8 , 145.4 , 144.2 , 144.1 , 144.2 , 145.1 , 144.3 , 147.8 , 148.6 , 149.4 , 148.6 , 149.2 , 152.6 , 153.1 , 154.2 , 157.2 , 157.9 , 156.4 , 157.1 , 157.7 , 158.3 , 155.5 , 155.9 , 158.5 , 157.8 , 159.5 , 160.1 , 160.5 , 162.1 , 164.9 , 165 , 168 , 165.7 , 164.7 , 167.3 , 170.1 , 169.1 , 173.3 , 170.8 , 173 , 170.8 , 177.2 , 176 , 179 , 179.5 , 178.2 , 183.1 , 185.6 , 183.4 , 185 , 186.5 , 187.4 , 186.4 , 189.8 , 191.6 , 188.9 , 191.2 , 186.8 , 190.4 , 189 ,
     Non-domestic (Million Kilowatt Hours) , 163.6 , 163.6 , 166.8 , 170.3 , 169.4 , 167.8 , 174.9 , 178.1 , 182.1 , 179.3 , 186.3 , 191.3 , 190.8 , 191 , 200 , 204.8 , 197.3 , 196.6 , 203.3 , 204.4 , 201.9 , 200.1 , 209.2 , 208.9 , 210.9 , 210 , 214.7 , 217.2 , 201.3 , 213.2 , 214.6 , 215 , 203.1 , 204.3 , 205.3 , 205.5 , 198.3 , 188.3 , 195.1 , 194.3 , 192.5 , 192.9 , 192.6 , 190.9 , 194.6 , 196 , 203.1 , 202.5 , 203 , 203.1 , 204.2 , 202.1 , 208.2 , 204.2 , 208.5 , 205.3 , 209.2 , 209.6 , 208.8 , 205.6 , 199.4 , 206.4 , 213.1 , 213.1 , 220.3 , 222.1 , 228.2 , 236.9 , 236 , 236.9 , 241 , 243.3 , 243 , 241.2 , 247.4 , 246.2 , 242 , 249 , 248.4 , 252.2 , 245.8 , 242.6 , 244.8 , 245.1 , 245.4 , 244 , 244.7 , 249.8 , 243.8 , 252.4 , 256.4 , 257.8 , 257.9 , 251.9 , 253.5 , 247.3 , 249.9 , 249.7 , 249.7 , 253.7 , 249.6 , 248.3 , 252.3 ,
 Total Liquefied Petroleum Gas Sales (Net Tonnes) ," 29,226.3 "," 38,153.9 "," 39,414.7 "," 37,600.3 "," 34,100.6 "," 39,855.9 "," 36,850 "," 31,891 "," 29,775.4 "," 31,878.4 "," 32,743.3 "," 32,667 "," 29,213.6 "," 32,091 "," 32,247.5 "," 31,778.8 "," 29,355.8 "," 30,408.8 "," 32,011 "," 32,922.3 "," 29,569.8 "," 30,128.5 "," 31,302 "," 31,152.2 "," 29,930.4 "," 31,080.5 "," 32,549.2 "," 29,440.2 "," 28,134.3 "," 31,911.6 "," 28,129.4 "," 32,750.5 "," 37,531.8 "," 35,977.9 "," 36,124.8 "," 35,890.4 "," 29,915.4 "," 29,001.3 "," 28,504.4 "," 31,735.1 "," 30,061.5 "," 30,531.2 "," 31,297.2 "," 28,978.2 "," 27,903.9 "," 28,861.1 "," 27,362.3 "," 27,219.6 "," 23,945.6 "," 24,871.3 "," 25,135.8 "," 25,755.8 "," 26,175.9 "," 28,491.9 "," 29,512 "," 27,895.8 "," 26,771.2 "," 27,559.6 "," 28,067.6 "," 27,697.8 "," 26,401.9 "," 28,462.7 "," 28,252.2 "," 28,430.4 "," 28,234.6 "," 27,960.8 "," 28,676.9 "," 28,780.9 "," 24,749.5 "," 27,228.4 "," 27,615.3 "," 24,988.7 "," 25,172.1 "," 26,022.8 "," 25,934 "," 26,481.6 "," 25,597.6 "," 27,424 "," 26,599.4 "," 25,980.5 "," 24,525.1 "," 23,431.7 "," 23,965.3 "," 23,474.8 "," 23,384.8 "," 23,808.7 "," 24,311.7 "," 25,315.1 "," 23,129.9 "," 23,324.9 "," 23,889.9 "," 23,206.6 "," 21,934.5 "," 22,573.1 "," 23,162.8 "," 23,253.4 "," 22,341 "," 22,628.2 "," 22,552.9 "," 22,504 "," 20,682 "," 20,491.9 "," 21,874.7 ",


